filename,group,code,top_n,retained_count,retention_pct,retained_terms
report_deductive_CC.md,deductive,CC,50,8,16.0,"course, courses, feedback, good, know, student, students, university"
report_deductive_CS.md,deductive,CS,50,9,18.0,"course, courses, did, feedback, good, student, students, university, way"
report_deductive_DC.md,deductive,DC,50,6,12.0,"course, courses, feedback, good, person, students"
report_deductive_DD.md,deductive,DD,50,8,16.0,"course, feedback, good, said, student, students, thing, university"
report_deductive_DS.md,deductive,DS,50,10,20.0,"course, courses, did, feedback, good, know, student, students, university, year"
report_deductive_SD.md,deductive,SD,50,9,18.0,"course, courses, did, feedback, good, make, said, student, students"
report_deductive_SS.md,deductive,SS,50,8,16.0,"course, courses, did, feedback, good, student, students, university"
report_inductive_CC.md,inductive,CC,50,8,16.0,"course, did, feedback, good, make, student, students, university"
report_inductive_CS.md,inductive,CS,50,11,22.0,"course, did, feedback, feel, good, make, person, student, students, university, way"
report_inductive_DC.md,inductive,DC,50,7,14.0,"course, feedback, feel, good, student, students, university"
report_inductive_DD.md,inductive,DD,50,6,12.0,"course, feedback, good, student, students, university"
report_inductive_DS.md,inductive,DS,50,7,14.0,"course, feedback, feel, good, student, students, university"
report_inductive_SD.md,inductive,SD,50,7,14.0,"course, feedback, good, lot, student, students, university"
report_inductive_SS.md,inductive,SS,50,7,14.0,"course, feedback, good, know, student, students, university"
